Timestamp,Live_Rate,Predicted_Rate,Decision,RMSE,MAE,Directional_accuracy,Actual,Error,CorrectDirection,HedgeOutcome,Notes:
24/09/2025 23:40,0.5859,0.577896064,Hedge now,,,,0.5859,-0.008003936,True,Missed,
25/09/2025 0:06,0.5859,0.575733718,Hedge now,0.003726,0.002856,47.94%,0.5859,-0.010166282,True,Missed,
25/09/2025 19:39,0.5822,0.575800166,Hedge now,0.000824,0.000252,6.16%,0.5822,-0.006399834,True,Missed,<- this is with news GPT enabled
25/09/2025 21:42,0.5822,0.573644632,Hedge now,0.00375,0.002888,48.37%,0.5822,-0.008555368,True,Missed,
26/09/2025 7:43,0.5822,0.569569966,Hedge now,0.004462,0.003496,48.81%,0.5774,-0.007830034,True,Profitable,
27/09/2025 0:31,0.5774,0.573727175,Hedge now,0.000812,0.000209,9.99%,0.577,-0.003272825,True,Profitable,
28/09/2025 9:19,0.577,0.569962926,Hedge now,0.000857,0.000297,7.99%,0.5769,-0.006937074,True,Profitable,
29/09/2025 11:47,0.5769,0.569549715,Hedge now,0.004062,0.003143,50.54%,0.5797,-0.010150285000000037,False,Missed,
30/09/2025 11:13,0.5775,0.570637063,Hedge now,0.003798,0.002924,49.46%,0.5797,-0.009062936999999938,False,Missed,
1/10/2025 15:58,0.5797,0.569125902,Hedge now,0.00457,0.003607,50.33%,0.5797,-0.010574097999999976,True,Missed,
